epoch,loss,mean_reward
1,0.31135051358829846,-0.31135051358829846
5,0.27721999992023816,-0.27721999992023816
10,0.27747624841603363,-0.27747624841603363
15,0.2773478627204895,-0.2773478627204895
20,0.27742278575897217,-0.27742278575897217
25,0.2773194042119113,-0.2773194042119113
30,0.27737292782826856,-0.27737292782826856
35,0.27739419313994323,-0.27739419313994323
40,0.2772792713208632,-0.2772792713208632
45,0.27723419259894977,-0.27723419259894977
50,0.2771944227543744,-0.2771944227543744
55,0.2773898474194787,-0.2773898474194787
60,0.2772283581170169,-0.2772283581170169
65,0.277390562675216,-0.277390562675216
70,0.277480656450445,-0.277480656450445
75,0.27730414271354675,-0.27730414271354675
80,0.27739118039608,-0.27739118039608
85,0.2772878421978517,-0.2772878421978517
90,0.2776049009778283,-0.2776049009778283
95,0.2773101289163936,-0.2773101289163936
100,0.27746334265578876,-0.27746334265578876
105,0.27740075100551953,-0.27740075100551953
110,0.2774404070594094,-0.2774404070594094
115,0.2772527906027707,-0.2772527906027707
120,0.2773673561486331,-0.2773673561486331
