name,family,feature_count,fit_sec,validation_weighted_normalized_mae,complexity_score,member_names,member_weights,weighted_normalized_mae,mae_delta_vs_full_baseline,predicted_compliance_rate,test_predict_ms,single_p50_ms,single_p95_ms,candidate_batch_size,candidate_batch_p50_ms,candidate_batch_p95_ms,candidate_batch_max_ms,miss_rate_20ms,miss_rate_50ms,miss_rate_100ms,miss_rate_250ms,miss_rate_1000ms,delay_penalty_20ms,delay_penalty_50ms,delay_penalty_100ms,delay_penalty_250ms,delay_penalty_1000ms,model_name
full_extra_trees_current,baseline_full_model,349,,,244300.0,[],[],0.2409998853149044,0.0,1.0,83.68900005007163,29.852299980120733,31.907650039647706,49,35.769800015259534,37.92869998142123,40.38459999719635,1.0,0.0,0.0,0.0,0.0,0.7937226876529166,0.0,0.0,0.0,0.0,
ecolite_extra_trees_24,compact_extra_trees,24,2.131682900013402,0.1932803301073228,3360.0,[],[],0.2523932674044934,0.01139338208958901,1.0,14.19529999839142,6.609850010136142,7.34547499450855,49,7.42719997651875,8.294714984367602,8.728699991479516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ecolite_extra_trees_24
ecolite_extra_trees_40,compact_extra_trees,40,3.1781448000110686,0.18329860880307333,5600.0,[],[],0.2366706848659523,-0.004329200448952103,1.0,13.879400037694722,6.764899997506291,7.705279981018975,49,7.5037499773316085,8.27762497938238,8.90289997914806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ecolite_extra_trees_40
ecolite_extra_trees_64,compact_extra_trees,64,4.703222600044683,0.18541698428685416,8960.0,[],[],0.24828889711047597,0.007289011795571565,1.0,15.357600001152605,6.793000007746741,7.5322800112189725,49,7.699999987380579,9.53474502894096,10.461300029419363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ecolite_extra_trees_64
compact_random_forest_40,bagging_random_forest,40,16.799135699984618,0.1840755041422394,4800.0,[],[],0.24208112623733768,0.0010812409224332797,1.0,11.988799960818142,5.656950001139194,6.035879967384972,49,6.340850028209388,7.412375032436103,7.711899990681559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compact_random_forest_40
compact_gradient_boosting_40,boosting_gradient,40,22.82078609999735,0.0850115340331213,19200.0,[],[],0.1077069788152033,-0.1332929064997011,1.0,3.812699986156076,1.781500002834946,2.0653000072343275,49,1.8548499792814255,2.294120006263256,2.573200035840273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,compact_gradient_boosting_40
fast_ridge_40,linear_ridge,40,0.02082219999283552,0.6379465735300474,160.0,[],[],0.13157004491217797,-0.10942984040272644,1.0,1.285300008021295,0.877750018844381,0.998709979467094,49,0.910000002477318,1.0105599998496473,1.1201999732293189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fast_ridge_40
balanced_extra_trees_96,compact_extra_trees,96,6.8622916000313126,0.1846532137778595,10560.0,[],[],0.2406571922692232,-0.00034269304568121384,1.0,13.900200021453202,5.6933999876491725,6.2377400463446975,49,6.615449994569644,7.206104998476803,7.925000041723251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced_extra_trees_96
validation_weighted_ensemble,ensemble_error_weighted,120,42.798066599993035,0.13244306963313984,12470.80426956603,"['ecolite_extra_trees_40', 'compact_random_forest_40', 'compact_gradient_boosting_40']","[0.2408511999408752, 0.2398346813359769, 0.5193141187231479]",0.1596481751822926,-0.0813517101326118,1.0,31.443300016690046,15.102349978405982,17.667645000619814,49,16.15754995145835,17.43360501131974,17.738299968186766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation_weighted_ensemble
latency_penalized_ensemble,ensemble_latency_penalized,120,26.019753100001253,0.21072664277412664,13953.51183696903,"['ecolite_extra_trees_40', 'compact_gradient_boosting_40', 'fast_ridge_40']","[0.08982007926176956, 0.6987862713122376, 0.21139364942599298]",0.1129531259556949,-0.1280467593592095,1.0,19.235899962950498,9.667200007243082,10.484274968621321,49,10.822599986568093,11.545770021621138,12.087599956430495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,latency_penalized_ensemble
