timestamp,actual_bod_proxy_mgL,actual_nh3_mgL,actual_tn_mgL,baseline_kla_d1,baseline_nrr_m3h,steady_kla_d1,steady_nrr_m3h,dynamic_kla_d1,dynamic_nrr_m3h,baseline_energy,steady_energy,dynamic_energy,baseline_pred_bod_proxy_mgL,baseline_pred_nh3_mgL,baseline_pred_tn_mgL,steady_pred_bod_proxy_mgL,steady_pred_nh3_mgL,steady_pred_tn_mgL,dynamic_pred_bod_proxy_mgL,dynamic_pred_nh3_mgL,dynamic_pred_tn_mgL,gamma_used,baseline_is_compliant,steady_is_compliant,dynamic_is_compliant
2025-07-03 08:00:00,2.5885684999999996,0.61,4.69886,99.66462878523203,6742.103955447746,90.0,5040.0,81.96765640125054,5169.413307554772,0.879018735566533,0.7813796754263241,0.742996460975757,2.5885684999999996,0.61,4.69886,2.5885684999999996,0.61,4.697874334839888,2.5885684999999996,0.61,4.697950510168466,0.8999999999999999,True,True,True
2025-07-03 08:30:00,2.5885684999999996,0.59,4.74821,99.4894373048568,6599.956289077247,90.0,5040.0,67.73522356040411,5237.99567140762,0.8661672977626067,0.7740635357413934,0.6952447861467015,2.5885684999999996,0.59,4.74821,2.5885684999999996,0.59,4.746296000991131,2.5885684999999996,0.6859654811284104,4.733575741571712,0.8999999999999999,True,True,True
2025-07-03 09:00:00,2.5885684999999996,0.59,4.74821,99.31424582448157,6457.808622706747,90.0,5040.0,63.534332316121166,5101.3538747178345,0.8533410748740831,0.7667473960564627,0.6853214401698462,2.5885684999999996,0.59,4.74821,2.5885684999999996,0.59,4.745429473497211,2.5885684999999996,0.8457601164773347,4.711263257863346,0.8999999999999999,True,True,True
2025-07-03 09:30:00,2.5885684999999996,0.59,4.74821,100.47551248913672,6500.012220467059,90.0,5040.0,67.19179844673573,5204.733424638693,0.8757460096184928,0.7808834559880479,0.7004471560124438,2.5885684999999996,0.59,4.74821,2.5885684999999996,0.59,4.744539251953456,2.5885684999999996,0.953669143878239,4.696009071879267,0.8999999999999999,True,True,True
2025-07-03 10:00:00,3.1043284999999994,0.6,4.56536,101.63677915379186,6542.215818227371,90.0,5040.0,72.47857533129198,5078.02855970736,0.8984169285384356,0.7950195159196329,0.7092002348866605,3.1043284999999994,0.6,4.56536,3.1043284999999994,0.6,4.560775461444511,3.1043284999999994,0.9977002391317191,4.5077812486155535,0.8999999999999999,True,True,True
2025-07-03 10:30:00,3.6200884999999996,0.61,4.38251,96.82304812493612,6614.2848984636,90.0,5040.0,65.2845523736252,5143.177749026748,0.8892966497881485,0.8086823741956053,0.7227938846153987,3.6200884999999996,0.61,4.38251,3.6200884999999996,0.61,4.377018646089306,3.6200884999999996,1.1430417706128266,4.305970952883678,0.8999999999999999,True,True,True
2025-07-03 11:00:00,3.6200884999999996,0.61,4.38251,92.00931709608037,6686.353978699831,90.0,5040.0,72.70888960688742,5050.259695067033,0.8790738023360133,0.8223452324715775,0.7320095535119385,3.6200884999999996,0.61,4.38251,3.6200884999999996,0.61,4.37612337764389,3.6200884999999996,1.1700542771558624,4.301597388813975,0.8999999999999999,True,True,True
2025-07-03 11:30:00,3.6200884999999996,0.61,4.38251,91.51061204506254,6574.2525836679,90.0,5040.0,71.08374282508704,5068.484464616285,0.8874961066955505,0.8364617247074941,0.7447571738038669,3.6200884999999996,0.61,4.38251,3.6200884999999996,0.61,4.375281681993175,3.6200884999999996,1.2181167177326286,4.294449608294529,0.8999999999999999,True,True,True
2025-07-03 12:00:00,2.6894909999999994,0.625,4.55521,91.01190699404472,6462.1511886359685,90.0,5040.0,69.14650235654275,5135.600707129539,0.8958041843611968,0.850578216943411,0.7588589388702214,2.6894909999999994,0.625,4.55521,2.6894909999999994,0.625,4.547194611619871,2.6894909999999994,1.3069000466708038,4.456626142916324,0.8999999999999999,True,True,True
2025-07-03 12:30:00,1.7588934999999999,0.64,4.72791,91.42232923620837,6407.5162765270325,90.0,5040.0,73.76981848272851,5103.491440429034,0.908885500252232,0.8626724299794123,0.769297113495487,1.7588934999999999,0.64,4.72791,1.7588934999999999,0.64,4.719101254118643,1.7588934999999999,1.330264551062894,4.627599244149768,0.8999999999999999,True,True,True
