kla_d1,nrr_m3h,energy,pred_bod_proxy_mgL,pred_nh3_mgL,pred_tn_mgL
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
90.0,5040.0,0.828486364007228,2.8089565344345218,0.10176223724991791,4.3976486271218445
